seq,frame,method,level,bitrate,psnr,ms_ssim,detections,enc_time,dec_time,cpu_ram_mb,gpu_vram_mb,vmaf
Bosphorus,0,bmshj2018_factorized,3,0.15941358024691357,36.00890610851543,0.9630064368247986,1,2.156937599182129,1.5209105014801025,1678.528512,246.96832,
Bosphorus,0,bmshj2018_factorized,4,0.22709876543209875,37.67593160161243,0.9737541079521179,1,0.44934773445129395,0.31168675422668457,1747.603456,246.96832,
Bosphorus,0,bmshj2018_hyperprior,3,0.11212962962962963,36.05099900624876,0.9597107172012329,1,0.6112430095672607,0.3409245014190674,1765.691392,246.870016,
Bosphorus,0,bmshj2018_hyperprior,4,0.15557098765432098,37.52297441182592,0.971730649471283,1,0.2854323387145996,0.32651543617248535,1753.53856,246.96832,
Bosphorus,0,mbt2018_mean,3,0.09472222222222222,36.13535518014428,0.9600145220756531,1,0.6321277618408203,0.4136381149291992,1767.038976,246.870016,
Bosphorus,0,mbt2018_mean,4,0.1347067901234568,37.56769201006353,0.9714638590812683,1,0.3258817195892334,0.3530771732330322,1754.431488,246.870016,
Bosphorus,1,bmshj2018_factorized,3,0.15933641975308643,36.01338846718219,0.9631687998771667,1,0.4496638774871826,0.35485029220581055,1755.070464,246.870016,
Bosphorus,1,bmshj2018_factorized,4,0.22709876543209875,37.679579918794836,0.9737786054611206,1,0.2626364231109619,0.2984285354614258,1783.119872,246.870016,
Bosphorus,1,bmshj2018_hyperprior,3,0.11194444444444444,36.05099442402129,0.9597203135490417,1,0.2645986080169678,0.33010339736938477,1748.758528,246.771712,
Bosphorus,1,bmshj2018_hyperprior,4,0.15555555555555556,37.517385593106766,0.9716965556144714,1,0.2940680980682373,0.3660264015197754,1761.44384,246.771712,
Bosphorus,1,mbt2018_mean,3,0.09452160493827161,36.1333053890324,0.9600550532341003,2,0.2984888553619385,0.35627269744873047,1748.774912,246.870016,
Bosphorus,1,mbt2018_mean,4,0.1346604938271605,37.56789993498591,0.9715255498886108,1,2.1118226051330566,0.39050817489624023,1761.460224,246.771712,
Bosphorus,2,bmshj2018_factorized,3,0.1592901234567901,36.017158540406626,0.9631133079528809,1,0.3452017307281494,0.3019723892211914,1779.810304,246.870016,
Bosphorus,2,bmshj2018_factorized,4,0.22685185185185186,37.67303704709578,0.9736608266830444,1,0.22136926651000977,0.2873504161834717,1789.247488,246.870016,
Bosphorus,2,bmshj2018_hyperprior,3,0.1120679012345679,36.06635265491583,0.9597811698913574,3,0.29091358184814453,0.35419797897338867,1789.247488,246.771712,
Bosphorus,2,bmshj2018_hyperprior,4,0.15552469135802469,37.53596180079229,0.9717234969139099,1,0.2652156352996826,0.33373475074768066,1798.5536,246.771712,
Bosphorus,2,mbt2018_mean,3,0.09430555555555556,36.120567220723004,0.9598253965377808,2,0.26247525215148926,0.3314080238342285,1773.641728,246.870016,
Bosphorus,2,mbt2018_mean,4,0.1347685185185185,37.58132419793559,0.9715763926506042,1,0.2696952819824219,0.3322787284851074,1777.0496,246.771712,
Bosphorus,3,bmshj2018_factorized,3,0.1592901234567901,36.0240668778285,0.9630556106567383,2,0.35861825942993164,0.371631383895874,1798.623232,246.870016,
Bosphorus,3,bmshj2018_factorized,4,0.22709876543209875,37.69695010085827,0.9737615585327148,3,0.21435880661010742,0.3065187931060791,1773.735936,246.870016,
Bosphorus,3,bmshj2018_hyperprior,3,0.11189814814814815,36.064005520928156,0.9598969221115112,1,0.2697434425354004,0.33011341094970703,1773.735936,246.771712,
